Precinct,Precinct ID,Precinct Reporting,Registered Voters,Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,,,Vote By Mail Votes,Vote By Mail Overvotes,Vote By Mail Undervotes,Vote By Mail Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,MARK CHARLES and ADRIAN WALLACE,0,,0,2,37,0,,,0,2,35,0,0,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,Rejected write-ins,0,,0,2,37,0,,,0,2,35,0,0,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,PRESIDENT AND VICE PRESIDENT,1010,NP,Unassigned write-ins,0,,24,2,37,0,,,22,2,35,0,2,0,1,0,0,0,1,0
1CS-1,6994,Reporting,3569,3011,84.37,US REPRESENTATIVE DISTRICT 2,2120,NP,JARED HUFFMAN,1817,,1746,0,114,0,,,1685,0,92,0,45,0,12,0,16,0,10,0
1CS-1,6994,Reporting,3569,3011,84.37,US REPRESENTATIVE DISTRICT 2,2120,NP,DALE K. MENSING,1816,,1151,0,114,0,,,1014,0,92,0,71,0,12,0,66,0,10,0
1CS-1,6994,Reporting,3569,3011,84.37,STATE ASSEMBLY DISTRICT 2,2140,NP,CHARLOTTE SVOLOS,1819,,1266,0,119,0,,,1122,0,104,0,70,0,11,0,74,0,4,0
1CS-1,6994,Reporting,3569,3011,84.37,STATE ASSEMBLY DISTRICT 2,2140,NP,JIM WOOD,1818,,1626,0,119,0,,,1565,0,104,0,47,0,11,0,14,0,4,0
1CS-1,6994,Reporting,3569,3011,84.37,CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER,5100,NP,KAREN BAZZANO,1975,,751,1,2358,0,,,690,1,2147,0,33,0,129,0,28,0,82,0
1CS-1,6994,Reporting,3569,3011,84.37,CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER,5100,NP,REBECCA REECE,1880,,1225,1,2358,0,,,1171,1,2147,0,27,0,129,0,27,0,82,0
1CS-1,6994,Reporting,3569,3011,84.37,CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER,5100,NP,BETH JOHNSTON,1891,,1668,1,2358,0,,,1556,1,2147,0,65,0,129,0,47,0,82,0
1CS-1,6994,Reporting,3569,3011,84.37,CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER,5100,NP,Rejected write-ins,0,,0,1,2358,0,,,0,1,2147,0,0,0,129,0,0,0,82,0
1CS-1,6994,Reporting,3569,3011,84.37,CUTTEN ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER,5100,NP,Unassigned write-ins,0,,18,1,2358,0,,,16,1,2147,0,2,0,129,0,0,0,82,0
1CS-1,6994,Reporting,3569,3011,84.37,HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR,6080,NP,HEIDI BENZONELLI,2018,,1186,0,3644,0,,,1127,0,3296,0,33,0,209,0,26,0,139,0
1CS-1,6994,Reporting,3569,3011,84.37,HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR,6080,NP,MICHAEL P. HANSEN,1964,,948,0,3644,0,,,894,0,3296,0,30,0,209,0,24,0,139,0
1CS-1,6994,Reporting,3569,3011,84.37,HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR,6080,NP,DAVID HAYNIE,1913,,461,0,3644,0,,,425,0,3296,0,22,0,209,0,14,0,139,0
1CS-1,6994,Reporting,3569,3011,84.37,HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR,6080,NP,DAVID SAUNDERSON,1943,,1097,0,3644,0,,,1042,0,3296,0,29,0,209,0,26,0,139,0
1CS-1,6994,Reporting,3569,3011,84.37,HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR,6080,NP,JOSH SEHON,1967,,519,0,3644,0,,,496,0,3296,0,15,0,209,0,8,0,139,0
1CS-1,6994,Reporting,3569,3011,84.37,HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR,6080,NP,JOE MATTEOLI,2026,,1165,0,3644,0,,,1081,0,3296,0,46,0,209,0,38,0,139,0
1CS-1,6994,Reporting,3569,3011,84.37,HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR,6080,NP,Rejected write-ins,0,,0,0,3644,0,,,0,0,3296,0,0,0,209,0,0,0,139,0
1CS-1,6994,Reporting,3569,3011,84.37,HUMBOLDT COMMUNITY SERVICES DISTRICT DIRECTOR,6080,NP,Unassigned write-ins,0,,13,0,3644,0,,,12,0,3296,0,0,0,209,0,1,0,139,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 14,7001,NP,Bonds Yes,1,,1293,0,133,0,,,1236,0,123,0,41,0,8,0,16,0,2,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 14,7001,NP,Bonds No,2,,1585,0,133,0,,,1432,0,123,0,79,0,8,0,74,0,2,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 15,7003,NP,Yes,2235,,1309,0,82,0,,,1245,0,71,0,50,0,8,0,14,0,3,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 15,7003,NP,No,2236,,1620,0,82,0,,,1475,0,71,0,70,0,8,0,75,0,3,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 16,7005,NP,Yes,2236,,935,0,114,0,,,900,0,99,0,21,0,10,0,14,0,5,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 16,7005,NP,No,2237,,1962,0,114,0,,,1792,0,99,0,97,0,10,0,73,0,5,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 17,7007,NP,Yes,2237,,1537,0,86,0,,,1458,0,79,0,56,0,4,0,23,0,3,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 17,7007,NP,No,2238,,1388,0,86,0,,,1254,0,79,0,68,0,4,0,66,0,3,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 18,7009,NP,Yes,2238,,1043,1,80,0,,,999,0,71,0,33,1,6,0,11,0,3,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 18,7009,NP,No,2239,,1887,1,80,0,,,1721,0,71,0,88,1,6,0,78,0,3,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 19,7011,NP,Yes,2239,,1346,0,130,0,,,1279,0,113,0,39,0,14,0,28,0,3,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 19,7011,NP,No,2240,,1535,0,130,0,,,1399,0,113,0,75,0,14,0,61,0,3,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 20,7013,NP,Yes,2240,,1114,1,152,0,,,1019,0,136,0,47,1,11,0,48,0,5,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 20,7013,NP,No,2241,,1744,1,152,0,,,1636,0,136,0,69,1,11,0,39,0,5,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 21,7015,NP,Yes,2241,,913,1,130,0,,,868,0,114,0,29,1,12,0,16,0,4,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 21,7015,NP,No,2242,,1960,1,130,0,,,1802,0,114,0,86,1,12,0,72,0,4,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 22,7017,NP,Yes,2242,,1573,0,129,0,,,1443,0,118,0,63,0,6,0,67,0,5,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 22,7017,NP,No,2243,,1302,0,129,0,,,1223,0,118,0,59,0,6,0,20,0,5,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 23,7019,NP,Yes,2243,,990,0,140,0,,,944,0,121,0,31,0,12,0,15,0,7,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 23,7019,NP,No,2244,,1874,0,140,0,,,1719,0,121,0,85,0,12,0,70,0,7,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 24,7021,NP,Yes,2244,,1415,0,172,0,,,1322,0,154,0,58,0,12,0,35,0,6,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 24,7021,NP,No,2245,,1417,0,172,0,,,1308,0,154,0,58,0,12,0,51,0,6,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 25,7023,NP,Yes,2245,,1125,1,154,0,,,1074,1,140,0,38,0,8,0,13,0,6,0
1CS-1,6994,Reporting,3569,3011,84.37,Proposition 25,7023,NP,No,2246,,1724,1,154,0,,,1569,1,140,0,82,0,8,0,73,0,6,0
1CS-1,6994,Reporting,3569,3011,84.37,"Measure I County of Humboldt, Unincorporated Area",7041,NP,Yes,2254,,1756,0,145,0,,,1665,0,125,0,61,0,12,0,30,0,8,0
1CS-1,6994,Reporting,3569,3011,84.37,"Measure I County of Humboldt, Unincorporated Area",7041,NP,No,2255,,1103,0,145,0,,,994,0,125,0,55,0,12,0,54,0,8,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,JOSEPH R. BIDEN and KAMALA D. HARRIS,4,DEM,93,0,0,0,,,90,0,0,0,3,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,DONALD J. TRUMP and MICHAEL R. PENCE,3,REP,40,0,0,0,,,33,0,0,0,6,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,GLORIA LA RIVA and SUNIL FREEMAN,1,PF,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST",6,AIP,2,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,HOWIE HAWKINS and ANGELA NICOLE WALKER,2,GRN,2,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,"JO JORGENSEN and JEREMY ""SPIKE"" COHEN",5,LIB,3,0,0,0,,,3,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,BRIAN CARROLL and AMAR PATEL,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,BROCK PIERCE and KARLA BALLARD,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,JESSE VENTURA and CYNTHIA MCKINNEY,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,JOSEPH KISHORE and NORISSA SANTA CRUZ,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,MARK CHARLES and ADRIAN WALLACE,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,Rejected write-ins,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,PRESIDENT AND VICE PRESIDENT,1010,NP,Unassigned write-ins,0,,3,0,0,0,,,3,0,0,0,0,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,US REPRESENTATIVE DISTRICT 2,2120,NP,JARED HUFFMAN,1817,,99,0,6,0,,,96,0,6,0,3,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,US REPRESENTATIVE DISTRICT 2,2120,NP,DALE K. MENSING,1816,,38,0,6,0,,,31,0,6,0,6,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,STATE ASSEMBLY DISTRICT 2,2140,NP,CHARLOTTE SVOLOS,1819,,47,0,7,0,,,39,0,7,0,7,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,STATE ASSEMBLY DISTRICT 2,2140,NP,JIM WOOD,1818,,89,0,7,0,,,87,0,7,0,2,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,TAMAR SHIRLEY,1955,,10,1,13,0,,,9,1,11,0,1,0,2,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,KATI MOULTON,2042,,57,1,13,0,,,56,1,11,0,1,0,2,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,DOT JAGER- WENTWORTH,1973,,37,1,13,0,,,31,1,11,0,5,0,2,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,LUCINDA JACKSON,1986,,24,1,13,0,,,24,1,11,0,0,0,2,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,Rejected write-ins,0,,0,1,13,0,,,0,1,11,0,0,0,2,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,Unassigned write-ins,0,,1,1,13,0,,,1,1,11,0,0,0,2,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 14,7001,NP,Bonds Yes,1,,72,0,7,0,,,68,0,7,0,4,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 14,7001,NP,Bonds No,2,,64,0,7,0,,,58,0,7,0,5,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 15,7003,NP,Yes,2235,,81,0,5,0,,,76,0,5,0,5,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 15,7003,NP,No,2236,,57,0,5,0,,,52,0,5,0,4,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 16,7005,NP,Yes,2236,,45,0,7,0,,,44,0,7,0,1,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 16,7005,NP,No,2237,,91,0,7,0,,,82,0,7,0,8,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 17,7007,NP,Yes,2237,,90,0,6,0,,,86,0,6,0,3,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 17,7007,NP,No,2238,,47,0,6,0,,,41,0,6,0,6,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 18,7009,NP,Yes,2238,,61,0,5,0,,,57,0,5,0,4,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 18,7009,NP,No,2239,,77,0,5,0,,,71,0,5,0,5,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 19,7011,NP,Yes,2239,,78,0,10,0,,,73,0,10,0,4,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 19,7011,NP,No,2240,,55,0,10,0,,,50,0,10,0,5,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 20,7013,NP,Yes,2240,,55,0,11,0,,,49,0,11,0,5,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 20,7013,NP,No,2241,,77,0,11,0,,,73,0,11,0,4,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 21,7015,NP,Yes,2241,,54,0,5,0,,,50,0,5,0,4,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 21,7015,NP,No,2242,,84,0,5,0,,,78,0,5,0,5,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 22,7017,NP,Yes,2242,,60,0,7,0,,,58,0,7,0,1,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 22,7017,NP,No,2243,,76,0,7,0,,,68,0,7,0,8,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 23,7019,NP,Yes,2243,,65,0,3,0,,,60,0,3,0,5,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 23,7019,NP,No,2244,,75,0,3,0,,,70,0,3,0,4,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 24,7021,NP,Yes,2244,,80,0,6,0,,,74,0,6,0,5,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 24,7021,NP,No,2245,,57,0,6,0,,,53,0,6,0,4,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 25,7023,NP,Yes,2245,,60,0,13,0,,,59,0,13,0,1,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,Proposition 25,7023,NP,No,2246,,70,0,13,0,,,61,0,13,0,8,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,"Measure C City Of Eureka, Charter Amendment",7029,NP,Yes,2248,,81,0,9,0,,,77,0,9,0,4,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,"Measure C City Of Eureka, Charter Amendment",7029,NP,No,2249,,53,0,9,0,,,47,0,9,0,5,0,0,0,1,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,"Measure H City Of Eureka, Supplemental Transaction and Use Tax",7039,NP,Yes,2253,,85,0,5,0,,,83,0,5,0,2,0,0,0,0,0,0,0
1.00E-26,6998,Reporting,208,143,68.75,"Measure H City Of Eureka, Supplemental Transaction and Use Tax",7039,NP,No,2254,,53,0,5,0,,,45,0,5,0,7,0,0,0,1,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,JOSEPH R. BIDEN and KAMALA D. HARRIS,4,DEM,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,DONALD J. TRUMP and MICHAEL R. PENCE,3,REP,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,GLORIA LA RIVA and SUNIL FREEMAN,1,PF,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,"ROQUE ""ROCKY"" DE LA FUENTE GUERRA and KANYE OMARI WEST",6,AIP,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,HOWIE HAWKINS and ANGELA NICOLE WALKER,2,GRN,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,"JO JORGENSEN and JEREMY ""SPIKE"" COHEN",5,LIB,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,BRIAN CARROLL and AMAR PATEL,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,BROCK PIERCE and KARLA BALLARD,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,JESSE VENTURA and CYNTHIA MCKINNEY,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,JOSEPH KISHORE and NORISSA SANTA CRUZ,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,MARK CHARLES and ADRIAN WALLACE,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,Rejected write-ins,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,PRESIDENT AND VICE PRESIDENT,1010,NP,Unassigned write-ins,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,US REPRESENTATIVE DISTRICT 2,2120,NP,JARED HUFFMAN,1817,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,US REPRESENTATIVE DISTRICT 2,2120,NP,DALE K. MENSING,1816,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,STATE ASSEMBLY DISTRICT 2,2140,NP,CHARLOTTE SVOLOS,1819,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,STATE ASSEMBLY DISTRICT 2,2140,NP,JIM WOOD,1818,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,TAMAR SHIRLEY,1955,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,KATI MOULTON,2042,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,DOT JAGER- WENTWORTH,1973,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,LUCINDA JACKSON,1986,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,Rejected write-ins,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,CITY OF EUREKA COUNCILMEMBER WARD 2,4452,NP,Unassigned write-ins,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 14,7001,NP,Bonds Yes,1,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 14,7001,NP,Bonds No,2,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 15,7003,NP,Yes,2235,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 15,7003,NP,No,2236,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 16,7005,NP,Yes,2236,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 16,7005,NP,No,2237,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 17,7007,NP,Yes,2237,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 17,7007,NP,No,2238,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 18,7009,NP,Yes,2238,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 18,7009,NP,No,2239,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
1.00E-28,7000,Reporting,0,0,0,Proposition 19,7011,NP,Yes,2239,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
